"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53225,107.8,"ER visits/ 10,000 population 18+ years",99.1,116.5,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53225,108.9,"ER visits/ 10,000 population 18+ years",100.2,117.6,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53225,105.3,"ER visits/ 10,000 population 18+ years",96.7,113.9,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53225,155.2,"ER visits/ 10,000 population 18+ years",144.8,165.6,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53225,146.6,"ER visits/ 10,000 population 18+ years",136.5,156.7,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53225,137.8,"ER visits/ 10,000 population 18+ years",128.1,147.5,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53226,71.6,"ER visits/ 10,000 population 18+ years",63.3,79.9,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53226,49.2,"ER visits/ 10,000 population 18+ years",42.3,56.1,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53226,75.4,"ER visits/ 10,000 population 18+ years",66.9,83.9,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53226,79.3,"ER visits/ 10,000 population 18+ years",70.6,88.0,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53226,110.0,"ER visits/ 10,000 population 18+ years",99.8,120.2,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53226,94.3,"ER visits/ 10,000 population 18+ years",84.9,103.7,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53226,86.2,"ER visits/ 10,000 population 18+ years",77.2,95.2,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53227,100.5,"ER visits/ 10,000 population 18+ years",91.5,109.5,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53227,71.2,"ER visits/ 10,000 population 18+ years",63.7,78.7,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53227,82.6,"ER visits/ 10,000 population 18+ years",74.5,90.7,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53227,87.6,"ER visits/ 10,000 population 18+ years",79.3,95.9,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53227,136.9,"ER visits/ 10,000 population 18+ years",126.5,147.3,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53227,131.3,"ER visits/ 10,000 population 18+ years",121.1,141.5,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53227,136.2,"ER visits/ 10,000 population 18+ years",125.9,146.5,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53228,58.5,"ER visits/ 10,000 population 18+ years",49.8,67.2,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53228,38.2,"ER visits/ 10,000 population 18+ years",31.2,45.2,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53228,38.8,"ER visits/ 10,000 population 18+ years",31.8,45.8,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53228,42.3,"ER visits/ 10,000 population 18+ years",35.1,49.5,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53228,66.4,"ER visits/ 10,000 population 18+ years",57.4,75.4,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53228,75.2,"ER visits/ 10,000 population 18+ years",65.5,84.9,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53228,75.6,"ER visits/ 10,000 population 18+ years",66.0,85.2,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53233,250.8,"ER visits/ 10,000 population 18+ years",230.7,270.9,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53233,163.4,"ER visits/ 10,000 population 18+ years",146.8,180.0,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53233,151.6,"ER visits/ 10,000 population 18+ years",135.6,167.6,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53233,165.6,"ER visits/ 10,000 population 18+ years",148.5,182.7,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
